"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Ends,"Attribution setting"
2026-02-20,2026-02-20,"Test Magsafe  Campaign 1 - IQ010106MAGG99",inactive,5,actions:offsite_conversion.fb_pixel_purchase,1.662,12.5,Daily,8.31,3703,3559,Ongoing,"7-day click, 1-day view, or 1-day engaged-view"
2026-02-20,2026-02-20,"Test Rign and Headphones Campaign - IQ010601GHKK99",inactive,,,,"Using ad set budget",0,6.25,2899,2394,Ongoing,"7-day click, 1-day view, or 1-day engaged-view"
2026-02-20,2026-02-20,"Test Ordinary Campaign 3 - IQ040303ORDI99",inactive,,,,3,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test Heat Massage Campaign - IQ040108QTMM99",active,,,,3,Daily,2.65,1579,1402,Ongoing,"7-day click, 1-day view, or 1-day engaged-view"
2026-02-20,2026-02-20,"Test Ordinary Campaign 2 - IQ040303ORDI99",inactive,,,,3,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Forchat New Campaign - IQ040107ALUY99",active,6,actions:offsite_conversion.fb_pixel_purchase,2.61333333,"Using ad set budget",0,15.68,12173,11955,Ongoing,"7-day click, 1-day view, or 1-day engaged-view"
2026-02-20,2026-02-20,"Forchat Test Campaign 3 - IQ040107ALUY99",inactive,,,,13,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test blower Campaign 2 - IQ050402POWR99",inactive,,,,"Using ad set budget",0,0.02,8,8,Ongoing,"7-day click, 1-day view, or 1-day engaged-view"
2026-02-20,2026-02-20,"Forchat Test Campaign 2 - IQ040107ALUY99",inactive,,,,4.5,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test Translate Campaign - IQ010102MKIO99",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Forchat Test Campaign 1 - IQ040107ALUY99",inactive,,,,3,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test SSD Campaign 1 - IQ010106ORES99",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Ghasala Test Campaign 3 - IQ030401SSDD99",inactive,,,,4.5,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test Masaha Campaign 1. - IQ030107MASA99",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Ghasala Test Campaign 2 - IQ030401SSDD99",inactive,,,,3,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Forchat ABO Campaign - Q040107ALUY99",inactive,,,,"Using ad set budget",0,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Ghasala Test Campaign 1 - IQ030401SSDD99",inactive,,,,3,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test Magsafe  Campaign 2 - IQ010106MAGG99",inactive,,,,10,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test Camera Campaign - IQ050105DAWI99",inactive,,,,10,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test blower Campaign - IQ050402POWR99",inactive,,,,15.6,Daily,0,0,0,Ongoing,-
2026-02-20,2026-02-20,"Test 3sara Campaign Correct - IQ030401SDAS99",inactive,,,,15,Daily,0,0,0,Ongoing,-
