كود_المنتج,اسم_المنتج,requested_units,confirmed_units,نسبة_التأكيد_للقطع,عدد_القطع_قيد_التوصيل,delivered_units,نسبة_التوصيل_للقطع,نسبة_التوصيل_للقطع_من_المطلوب,returned_units,expected_delivered_units,نسبة_التوصيل_المتوقعة,نسبة_التوصيل_المتوقعة_من_المطلوب,متوسط_الربح_للقطعة_المطلوبة,متوسط_الربح_للقطعة_المؤكدة,متوسط_الربح_للقطعة_الموصلة,مجموع_الارباح_المطلوبة,confirmed_profit_iqd,delivered_profit_iqd,expected_profit_iqd,confirmed_profit_usd,delivered_profit_usd,expected_profit_usd
IQ010106MAGG99,"Megsafe Charger, 3-in-1 Wireless Charger 15 Watt",69,50.0,72.46,5.0,37.0,74.0,53.62,0.0,21.0,42.0,30.43,"13,778.99","13,525","13,290.54","950,750",676250.0,491750,267250,422.65625,307.34375,167.03125
IQ040107ALUY99,جهاز خيط الاسنان المائي ,59,43.0,72.88,9.0,29.0,67.44,49.15,0.0,9.0,20.93,15.25,"14,118.64","13,953.49","13,724.14","833,000",600000.0,398000,117000,375.0,248.75,73.125
IQ040104WIRE99,• wireless hair straghtner,15,8.0,53.33,,7.0,87.5,46.67,0.0,7.0,87.5,46.67,"12,000","11,562.5","11,500","180,000",92500.0,80500,80500,57.8125,50.3125,50.3125
IQ030401SSDD99,غسالة مكس توب بضمان,13,7.0,53.85,,3.0,42.86,23.08,0.0,3.0,42.86,23.08,"11,384.62","11,285.71","11,000","148,000",79000.0,33000,33000,49.375,20.625,20.625
IQ050402POWR99,• طارد الهواء النفاث للتنظيف والتجفيف,9,4.0,44.44,,4.0,100.0,44.44,1.0,0.0,0.0,0.0,"13,222.22","12,000","12,000","119,000",48000.0,36000,0,30.0,22.5,0.0
IQ010106ORES99,•  هارد 8 تيرا بايت SSD,9,5.0,55.56,3.0,2.0,40.0,22.22,0.0,0.0,0.0,0.0,"14,611.11","14,800","14,500","131,500",74000.0,29000,0,46.25,18.125,0.0
IQ030401SDAS99,"""	عصارة بالطرد المركزي الكامل للفواكهه ضمان 6أشهر""",6,0.0,,,0.0,,,0.0,0.0,,,"19,750",,,"118,500",0.0,0,0,0.0,0.0,0.0
IQ040304AZNN99,Retinal shot لعلاج التجاعيد و خيوط الابتسامة ,6,3.0,50.0,,0.0,,,0.0,0.0,,,"6,750","6,750",,"40,500.02",20250.01,0,0,12.656256249999998,0.0,0.0
IQ010401TAWR99,• باور بانك الطؤاري التريند تايب سي,4,4.0,100.0,2.0,2.0,50.0,50.0,0.0,1.0,25.0,25.0,500,500,500,"2,000",2000.0,1000,500,1.25,0.625,0.3125
IQ040110ZAOO99,• ماكينة التنعيم الصغيره,3,3.0,100.0,,3.0,100.0,100.0,0.0,3.0,100.0,100.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
IQ050105DAWI99,داش كام 3 كاميرات للسيارة WiFi Full HD,3,1.0,33.33,,0.0,,,0.0,0.0,,,"13,500","13,500",,"40,500",13500.0,0,0,8.4375,0.0,0.0
IQ050101JUMP99,شاحن بطارية سيارة و الموبيل مع منفاخ للأطارات,3,0.0,,,0.0,,,0.0,0.0,,,"14,500",,,"43,500",0.0,0,0,0.0,0.0,0.0
IQ010601GHKK99,رينج لايت للتصوير الاحترافي + P9 Wireless Headphone,3,2.0,66.67,,1.0,50.0,33.33,0.0,0.0,0.0,0.0,"14,166.67","14,000","10,500","42,500",28000.0,10500,0,17.5,6.5625,0.0
IQ040108QTMM99,جهاز مساج حراري 3 في 1 للركبة و الكتف و الساعد,2,1.0,50.0,,1.0,100.0,50.0,0.0,0.0,0.0,0.0,"16,000","16,000","16,000","32,000",16000.0,16000,0,10.0,10.0,0.0
IQ040501QQUU99,"""	WIRELESS HAIR STRAIGHTNER + قطعة مجانية """,2,1.0,50.0,,1.0,100.0,50.0,0.0,1.0,100.0,50.0,"28,500","28,500","28,500","57,000",28500.0,28500,28500,17.8125,17.8125,17.8125
IQ030303HASH99,• جهاز طارد الحشرات بالموجات الصوتية,1,1.0,100.0,,0.0,,,0.0,0.0,,,500,500,,500,500.0,0,0,0.3125,0.0,0.0
IQ040303ORDI99,• The Ordinary Glycolic Acid,1,1.0,100.0,,0.0,,,0.0,0.0,0.0,0.0,"14,000","14,000",,"14,000",14000.0,0,0,8.75,0.0,0.0
IQ030303KAWI99,كواية السفر القابلة للطي,1,1.0,100.0,,0.0,,,0.0,0.0,,,"15,500","15,500",,"15,500",15500.0,0,0,9.6875,0.0,0.0
IQ040109EELH99,• معطر الفم  EELHOE,1,1.0,100.0,,1.0,100.0,100.0,0.0,1.0,100.0,100.0,500,500,500,500,500.0,500,500,0.3125,0.3125,0.3125
IQ030401KHAT99,• خلاط الشحن الترند,1,1.0,100.0,,1.0,100.0,100.0,0.0,1.0,100.0,100.0,500,500,500,500,500.0,500,500,0.3125,0.3125,0.3125
IQ010102MKIO99,ايربودز لترجمة المحادثات ,1,1.0,100.0,,1.0,100.0,100.0,0.0,0.0,0.0,0.0,"16,500","16,500","16,500","16,500",16500.0,16500,0,10.3125,10.3125,0.0
